timestamp,level,content
2024-03-18T08:15:30,INFO,系统启动成功，正在加载配置文件
2024-03-18T08:16:45,DEBUG,数据库连接池初始化完成，连接数10
2024-03-18T08:17:20,INFO,用户登录成功，用户ID1001
2024-03-18T09:30:15,WARN,内存使用率达到80%，建议检查系统资源
2024-03-18T09:45:00,ERROR,数据库查询超时，SQL执行时间超过30秒
2024-03-18T10:00:00,INFO,定时任务执行完成，处理数据1000条
2024-03-18T10:15:30,DEBUG,缓存命中率95%，性能表现良好
2024-03-18T11:20:45,WARN,磁盘空间不足，剩余空间小于10GB
2024-03-18T12:00:00,INFO,午间数据备份完成，备份大小500MB
2024-03-18T13:30:15,ERROR,API接口调用失败，返回码500
2024-03-18T14:00:00,INFO,系统健康检查通过，所有服务正常
2024-03-18T14:30:45,DEBUG,请求处理时间统计，平均响应时间200ms
2024-03-18T15:00:00,FATAL,系统核心服务崩溃，需要立即重启
2024-03-18T15:15:30,INFO,系统重启完成，恢复正常运行
2024-03-18T16:00:00,INFO,用户活跃度统计，当前在线用户500人
